patchbot/owners patchbot-owners
patchbot/owners#SageMathpatchbotsandtheirowners patchbot-owners#SageMath-patchbots-and-their-owners
sage sage
sd12-bugs sd12-bugs
sd12-bugs#Orphans sd12-bugs#Orphans
sd12-bugs#HitList sd12-bugs#Hit-List
sd12-bugs#ReviewHitList sd12-bugs#Review-Hit-List
sd12-bugs#Bugsslain(withoutreview) sd12-bugs#Bugs-slain-(without-review)
sd12-bugs#ConfirmedKills sd12-bugs#Confirmed-Kills
sd12-bugs#Assists sd12-bugs#Assists
sd12-bugs#DOA sd12-bugs#DOA
Infrastructure Infrastructure
Infrastructure#Currentservices Infrastructure#Current-services
Infrastructure#DNS Infrastructure#DNS
Infrastructure#ask.sagemath.org Infrastructure#ask.sagemath.org
Infrastructure#backup Infrastructure#backup
Infrastructure#doc.sagemath.org,planet.sagemath.org,www.sagemath.org Infrastructure#doc.sagemath.org,-planet.sagemath.org,-www.sagemath.org
Infrastructure#files.sagemath.org,fileserver.sagemath.org,old.files.sagemath.org Infrastructure#files.sagemath.org,-fileserver.sagemath.org,-old.files.sagemath.org
Infrastructure#git.sagemath.org,trac.sagemath.org Infrastructure#git.sagemath.org,-trac.sagemath.org
Infrastructure#GitHuborganizationforSageMath Infrastructure#GitHub-organization-for-SageMath
Infrastructure#GitLaborganizationforSageMath Infrastructure#GitLab-organization-for-SageMath
Infrastructure#build.sagemath.org Infrastructure#build.sagemath.org
Infrastructure#patchbot.sagemath.org Infrastructure#patchbot.sagemath.org
Infrastructure#rsync.sagemath.org Infrastructure#rsync.sagemath.org
Infrastructure#sagecell.sagemath.org Infrastructure#sagecell.sagemath.org
Infrastructure#wiki.sagemath.org Infrastructure#wiki.sagemath.org
Infrastructure#!DockerHuborganization Infrastructure#!DockerHub-organization
Infrastructure#Defunctservices Infrastructure#Defunct-services
Infrastructure#sagenb.org Infrastructure#sagenb.org
Infrastructure#sageb0t Infrastructure#sageb0t
Infrastructure#zulip.sagemath.org Infrastructure#zulip.sagemath.org
WikiStart WikiStart
WikiStart#🚨BROADCAST🚨 WikiStart#🚨-BROADCAST-🚨
WikiStart#MovingtoGithub! WikiStart#Moving-to-Github!
WikiStart#WelcometotheSageMathDevelopmentOrganizationPage WikiStart#Welcome-to-the-SageMath-Development-Organization-Page
WikiStart#Gettingstarted WikiStart#Getting-started
WikiStart#Reportingabug WikiStart#Reporting-a-bug
WikiStart#Followingthepulseofdevelopment WikiStart#Following-the-pulse-of-development
WikiStart#Contributingbyworkingontickets WikiStart#Contributing-by-working-on-tickets
WikiStart#Surveyingthemathematicalsoftwarelandscape WikiStart#Surveying-the-mathematical-software-landscape
WikiStart#Maintainingthesocialandtechnicalinfrastructure WikiStart#Maintaining-the-social-and-technical-infrastructure
WikiStart#Additionalformattinghints WikiStart#Additional-formatting-hints
WikiStart#AccountNamesMappedtoRealNames WikiStart#Account-Names-Mapped-to-Real-Names
WikiStart#Legacysage-tracAccountRequest WikiStart#Legacy-sage-trac-Account-Request
CygwinPort CygwinPort
CygwinPort#InformationfortheporttoCygwin CygwinPort#Information-for-the-port-to-Cygwin
CygwinPort#ArchivedinformationfortheCygwinport CygwinPort#Archived-information-for-the-Cygwin-port
CygwinPort#CygwinBuildNotes CygwinPort#Cygwin-Build-Notes
CygwinPort#Prerequisites CygwinPort#Prerequisites
CygwinPort#Rebasing CygwinPort#Rebasing
CygwinPort#Porting! CygwinPort#Porting!
CygwinPort#BuildTickets CygwinPort#Build-Tickets
CygwinPort#Thingswithouttickets CygwinPort#Things-without-tickets
CygwinPort#GettingSagetostart CygwinPort#Getting-Sage-to-start
CygwinPort#DoctestTickets CygwinPort#Doctest-Tickets
CygwinPort#OtherTickets CygwinPort#Other-Tickets
CygwinPort#Closed CygwinPort#Closed
CygwinPort#howtomarkCYGWIN-specificpartsincode CygwinPort#how-to-mark-CYGWIN-specific-parts-in-code
CygwinPort#oldCygwinbinaries CygwinPort#old-Cygwin-binaries
CygwinPort#Recenttests CygwinPort#Recent-tests
CygwinPort#TestingSage5.1.rc1onWindows764bitswithCygwin1.7.15 CygwinPort#Testing-Sage-5.1.rc1-on-Windows-7-64-bits-with-Cygwin-1.7.15
CygwinPort#Testingsage5.2oncygwin1.7.16onWindows764bits CygwinPort#Testing-sage-5.2-on-cygwin-1.7.16-on-Windows-7-64-bits
CygwinPort#TestingSage5.4.rconWindowsXP CygwinPort#Testing-Sage-5.4.rc-on-Windows-XP
CygwinPort#TestingSage5.5.rc0onWindowsXP CygwinPort#Testing-Sage-5.5.rc0-on-Windows-XP
CygwinPort#TestingSage5.5.rc0onWindows7(64bits) CygwinPort#Testing-Sage-5.5.rc0-on-Windows-7-(64-bits)
CygwinPort#TestingSage5.5.rc1onWindows7(64bits) CygwinPort#Testing-Sage-5.5.rc1-on-Windows-7-(64-bits)
CygwinPort#TestingSage5.6.beta2onWindowsXP CygwinPort#Testing-Sage-5.6.beta2-on-Windows-XP
CygwinPort#TestingSage5.6.rc0on64bitsWindows7 CygwinPort#Testing-Sage-5.6.rc0-on-64-bits-Windows-7
CygwinPort#TestingSage5.7.beta1on64bitsWindows7 CygwinPort#Testing-Sage-5.7.beta1-on-64-bits-Windows-7
CygwinPort#TestingSage5.7.beta2on32bitsWindows7 CygwinPort#Testing-Sage-5.7.beta2-on-32-bits-Windows-7
CygwinPort#TestingSage5.7.beta4on64bitsWindows7 CygwinPort#Testing-Sage-5.7.beta4-on-64-bits-Windows-7
CygwinPort#TestingSage5.9.beta2on32bitsWindows7 CygwinPort#Testing-Sage-5.9.beta2-on-32-bits-Windows-7
CygwinPort#TestingSage5.9.beta5on32bitsWindowsXPrunningunderVirtualbox4.1.18on64bitsDebiansid/experimental CygwinPort#Testing-Sage-5.9.beta5-on-32-bits-Windows-XP-running-under-Virtualbox-4.1.18-on-64-bits-Debian-sid/experimental
SagePresentationsMarketplace SagePresentationsMarketplace
SagePresentationsMarketplace#SagePresentationsMarketplace SagePresentationsMarketplace#Sage-Presentations-Marketplace
SagePresentationsMarketplace#Offered SagePresentationsMarketplace#Offered
SagePresentationsMarketplace#Wanted SagePresentationsMarketplace#Wanted
SagePresentationsMarketplace#Existingmaterialsonline SagePresentationsMarketplace#Existing-materials-online
SagePresentationsMarketplace#Videos SagePresentationsMarketplace#Videos
SagePresentationsMarketplace#Videosinotherlanguages SagePresentationsMarketplace#Videos-in-other-languages
SagePresentationsMarketplace#Notebooksetc. SagePresentationsMarketplace#Notebooks-etc.
SagePresentationsMarketplace#Interactivepages SagePresentationsMarketplace#Interactive-pages
SageTracNotification SageTracNotification
symbolics/functions symbolics-functions
symbolics/functions#Tipsforimplementingnewfunctions symbolics-functions#Tips-for-implementing-new-functions
symbolics/functions#Ticketsrelatedtoimprovinganexistingfunctionorimplementinganewone symbolics-functions#Tickets-related-to-improving-an-existing-function-or-implementing-a-new-one
symbolics/functions#othersymbolicfunctiontickets symbolics-functions#other-symbolic-function-tickets
symbolics/functions#Ticketsofthistypeclosed symbolics-functions#Tickets-of-this-type-closed
symbolics/functions#Ticketstomake symbolics-functions#Tickets-to-make
symbolics/functions#SpecialfunctionsdefinedinMaxima symbolics-functions#Special-functions-defined-in-Maxima
symbolics/maxima symbolics-maxima
symbolics/maxima#Absolutedependenciesonpexpect-maxima(#17753) symbolics-maxima#Absolute-dependencies-on-pexpect-maxima-(#17753)
symbolics/maxima#Optionaldependenciesonpexpect-maxima symbolics-maxima#Optional-dependencies-on-pexpect-maxima
symbolics/maxima#Otherdependenciesonmaxima_lib symbolics-maxima#Other-dependencies-on-maxima_lib
symbolics symbolics
symbolics#OtherSymbolicpages symbolics#Other-Symbolic-pages
symbolics#Wikipedialinksandsomepapers symbolics#Wikipedia-links-and-some-papers
symbolics#Linksforthesetickets symbolics#Links-for-these-tickets
symbolics#Solvetickets symbolics#Solve-tickets
symbolics#Integrationtickets symbolics#Integration-tickets
symbolics#simplify/expandtickets symbolics#simplify/expand-tickets
symbolics#desolvetickets symbolics#desolve-tickets
symbolics#limitandsummationtickets symbolics#limit-and-summation-tickets
symbolics#series()andtaylor() symbolics#series()-and-taylor()
symbolics#limitationsofPiecewisefunctions symbolics#limitations-of-Piecewise-functions
symbolics#conversionto/fromotherrings symbolics#conversion-to/from-other-rings
symbolics#fast_floatdeprecation symbolics#fast_float-deprecation
symbolics#performance symbolics#performance
symbolics#expressiontreeandsubstitutions symbolics#expression-tree-and-substitutions
symbolics#relation/equality,unknownresults,tristatelogic symbolics#relation/equality,-unknown-results,-tristate-logic
symbolics#variabledomainsandassumptions symbolics#variable-domains-and-assumptions
symbolics#specificPynac/GiNaCissues symbolics#specific-Pynac/GiNaC-issues
symbolics#Maximainterface symbolics#Maxima-interface
symbolics#!SymPyinterface symbolics#!SymPy-interface
symbolics#Giacinterface symbolics#Giac-interface
symbolics#FriCASinterface symbolics#FriCAS-interface
symbolics#Other symbolics#Other
symbolics#Ticketsfixed symbolics#Tickets-fixed
Mapple%20Graph%20Theory%20 Mapple-Graph-Theory-
SageCombinatRoadMap SageCombinatRoadMap
SageCombinatRoadMap#RoadmapandstatusreportforSage-Combinat SageCombinatRoadMap#Roadmap-and-status-report-for-Sage-Combinat
SageCombinatRoadMap#Overview SageCombinatRoadMap#Overview
SageCombinatRoadMap#ProgressofthemigrationfromMuPADtoSage SageCombinatRoadMap#Progress-of-the-migration-from-MuPAD-to-Sage
SageCombinatRoadMap#Roadmap SageCombinatRoadMap#Road-map
SageCombinatRoadMap#History SageCombinatRoadMap#History
TicketReports TicketReports
TicketReports#TicketReports TicketReports#Ticket-Reports
TicketReports#TicketstoWorkOn TicketReports#Tickets-to-Work-On
TicketReports#Blockers TicketReports#Blockers
TicketReports#MyTickets TicketReports#My-Tickets
TicketReports#Bugs TicketReports#Bugs
TicketReports#AllTickets TicketReports#All-Tickets
TicketReports#TracActivity(akaleaderboard) TicketReports#Trac-Activity-(aka-leaderboard)
TicketReports#OtherReports TicketReports#Other-Reports
TicketReports#OriginalReports TicketReports#Original-Reports
TicketReports#Makingnewreports TicketReports#Making-new-reports
ExoticPorts ExoticPorts
ExoticPorts#SageMath9.0 ExoticPorts#SageMath-9.0
ExoticPorts#RaspberryPi4B2GBrunningRaspbianBuster ExoticPorts#Raspberry-Pi-4B-2GB-running-Raspbian-Buster
ExoticPorts#SageMath8.9 ExoticPorts#SageMath-8.9
ExoticPorts#RaspberryPi4BrunningRaspbianBuster ExoticPorts#Raspberry-Pi-4B-running-Raspbian-Buster
ExoticPorts#SageMath8.2 ExoticPorts#SageMath-8.2
ExoticPorts#RaspberryPirunningUbuntu16.04 ExoticPorts#Raspberry-Pi-running-Ubuntu-16.04
ExoticPorts#Sage5.13 ExoticPorts#Sage-5.13
ExoticPorts#RaspberryPirunningRaspbian(armv6withhardfloats) ExoticPorts#Raspberry-Pi-running-Raspbian-(armv6-with-hard-floats)
ExoticPorts#ARMv7boardrunningUbuntu12.04(armv7withhardfloats) ExoticPorts#ARMv7-board-running-Ubuntu-12.04-(armv7-with-hard-floats)
ExoticPorts#SunUltrasparcT1/2runningdebian/sparc(64bitkernel,32bituserland,32bitSagebuild) ExoticPorts#Sun-Ultrasparc-T1/2-running-debian/sparc-(64-bit-kernel,-32-bit-userland,-32-bit-Sage-build)
ExoticPorts#SunUltrasparcT2runningSolaris10(64bitkernel,32bituserland,32bitSagebuild) ExoticPorts#Sun-Ultrasparc-T2-running-Solaris-10-(64-bit-kernel,-32-bit-userland,-32-bit-Sage-build)
ExoticPorts#SunUltrasparcT1/2runningdebian/sparc(64bitkernel,32bituserland,64bitSagebuild) ExoticPorts#Sun-Ultrasparc-T1/2-running-debian/sparc-(64-bit-kernel,-32-bit-userland,-64-bit-Sage-build)
ExoticPorts#SunUltrasparcT2runningSolaris10(64bitkernel,32bituserland,64bitSagebuild) ExoticPorts#Sun-Ultrasparc-T2-running-Solaris-10-(64-bit-kernel,-32-bit-userland,-64-bit-Sage-build)
Upstream Upstream
Upstream#SageMath:upstreamprojects Upstream#SageMath:-upstream-projects
Upstream#Upstreamprojects Upstream#Upstream-projects
Upstream#Upgradingandupdatingupstreampackages Upstream#Upgrading-and-updating-upstream-packages
Upstream#Sagetracticketsaboutupgrades,updates,packages Upstream#Sage-trac-tickets-about-upgrades,-updates,-packages
RandomTree RandomTree
Distribution Distribution
Distribution#Distributionandpackagingof!SageMath Distribution#Distribution-and-packaging-of-!SageMath
Distribution#Sourcedistributions Distribution#Source-distributions
Distribution#Containers Distribution#Containers
Distribution#Binder Distribution#Binder
Distribution#Dockerimages Distribution#Docker-images
Distribution#!CoCalcDockerimages(recommended) Distribution#!CoCalc-Docker-images-(recommended)
Distribution#ComputationaltopologySageDockerimage Distribution#Computational-topology-Sage-Docker-image
Distribution#Official!SageMathDockerimages(insearchofmaintainers) Distribution#Official-!SageMath-Docker-images-(in-search-of-maintainers)
Distribution#LiveUSB Distribution#Live-USB
Distribution#Clefagreg Distribution#Clef-agreg
Distribution#SageDebianLive(defunct) Distribution#Sage-Debian-Live-(defunct)
Distribution#AIMSDesktop(abandoned2017) Distribution#AIMS-Desktop-(abandoned-2017)
Distribution#Packagemanagers Distribution#Package-managers
Distribution#Arch-linux Distribution#Arch-linux
Distribution#Conda/Anaconda/Miniconda/CondaForge Distribution#Conda-/-Anaconda-/-Miniconda-/-Conda-Forge
Distribution#Debian Distribution#Debian
Distribution#Fedorapackage Distribution#Fedora-package
Distribution#Gentoo:Sage-on-Gentoo Distribution#Gentoo:-Sage-on-Gentoo
Distribution#Homebrew Distribution#Homebrew
Distribution#Nix Distribution#Nix
Distribution#RPMpackage(Fedora,Mandriva) Distribution#RPM-package-(Fedora,-Mandriva)
Distribution#Ubuntu Distribution#Ubuntu
Distribution#Other Distribution#Other
Distribution#Windows Distribution#Windows
